latitude,longitude,location,town,country
-0.24,0.37,"('Undefined', 'Undefined')",Undefined,Undefined
-0.44,-0.33,"('Undefined', 'Undefined')",Undefined,Undefined
-20.31,57.37,"(None, 'Mauritius')",,Mauritius
0.16,0.07,"('Undefined', 'Undefined')",Undefined,Undefined
0.19,0.25,"('Undefined', 'Undefined')",Undefined,Undefined
0.39,0.05,"('Undefined', 'Undefined')",Undefined,Undefined
0.5,0.58,"('Undefined', 'Undefined')",Undefined,Undefined
0.61,0.52,"('Undefined', 'Undefined')",Undefined,Undefined
0.72,0.94,"('Undefined', 'Undefined')",Undefined,Undefined
0.86,1.42,"('Undefined', 'Undefined')",Undefined,Undefined
1.0,0.69,"('Undefined', 'Undefined')",Undefined,Undefined
1.0,1.0,"('Undefined', 'Undefined')",Undefined,Undefined
1.01,0.6,"('Undefined', 'Undefined')",Undefined,Undefined
1.03,0.75,"('Undefined', 'Undefined')",Undefined,Undefined
1.06,0.57,"('Undefined', 'Undefined')",Undefined,Undefined
1.09,1.43,"('Undefined', 'Undefined')",Undefined,Undefined
1.21,1.44,"('Undefined', 'Undefined')",Undefined,Undefined
1.33,103.59,"('Undefined', 'Undefined')",Undefined,Undefined
1.37,1.06,"('Undefined', 'Undefined')",Undefined,Undefined
1.4,1.14,"('Undefined', 'Undefined')",Undefined,Undefined
1.46,0.65,"('Undefined', 'Undefined')",Undefined,Undefined
1.46,0.77,"('Undefined', 'Undefined')",Undefined,Undefined
12.96,77.64,"('Bengaluru', 'India')",Bengaluru,India
12.96,77.65,"('Bengaluru', 'India')",Bengaluru,India
16.82,96.17,"('Yangon', 'Myanmar (Burma)')",Yangon,Myanmar (Burma)
18.21,109.53,"('Sanya', 'China')",Sanya,China
18.22,109.5,"('Sanya Shi', 'China')",Sanya Shi,China
18.23,109.52,"('Sanya Shi', 'China')",Sanya Shi,China
18.23,109.63,"('Sanya Shi', 'China')",Sanya Shi,China
